#[[Fit Statistics]]
#    # function evals   = 31
#    # data points      = 494
#    # variables        = 6
#    chi-square         = 667.388
#    reduced chi-square = 1.368
#    Akaike info crit   = 160.613
#    Bayesian info crit = 185.828
#[[Variables]]
#    R:           62.5306 (fixed)
#    dshell:      18.3000000 +/- 0.068788 (0.38%) (init= 18.54)
#    SLDcore:     6.069e-06 (fixed)
#    SLDshell:    2.7840e-06 +/- 1.75e-08 (0.63%) (init= 2.768e-06)
#    SLDmatrix:   5.664e-06 (fixed)
#    sigR:        0.0942 (fixed)
#    sigdshell:   0 (fixed)
#    dth_sa:      0.00115702 +/- 5.73e-05 (4.95%) (init= 0.001155)
#    dth_la:      0.00159000 +/- 2.06e-05 (1.30%) (init= 0.001585)
#    i0:          0.61800000 +/- 0.007852 (1.27%) (init= 0.59)
#    bg:          0.01638000 +/- 0.000157 (0.96%) (init= 0.01458)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(SLDshell, i0)              =  0.724 
#    C(SLDshell, dth_la)          =  0.624 
#    C(i0, bg)                    = -0.463 
#    C(dshell, SLDshell)          =  0.456 
#    C(dshell, bg)                =  0.446 
#    C(dth_la, i0)                =  0.370 
#    C(dshell, dth_la)            =  0.361 
#    C(SLDshell, dth_sa)          =  0.306 
#    C(dshell, i0)                = -0.279 
#    C(dth_sa, dth_la)            =  0.242 
#    C(dshell, dth_sa)            =  0.202 
#    C(dth_sa, i0)                =  0.159 #z / nm 	 SLD / 1e-6 A-2
0.0	6.06899824986
0.10067114094	6.06899824986
0.201342281879	6.06899824986
0.302013422819	6.06899824986
0.402684563758	6.06899824986
0.503355704698	6.06899824986
0.604026845638	6.06899824986
0.704697986577	6.06899824986
0.805369127517	6.06899824986
0.906040268456	6.06899824986
1.0067114094	6.06899824986
1.10738255034	6.06899824986
1.20805369128	6.06899824986
1.30872483221	6.06899824986
1.40939597315	6.06899824986
1.51006711409	6.06899824986
1.61073825503	6.06899824986
1.71140939597	6.06899824986
1.81208053691	6.06899824986
1.91275167785	6.06899824986
2.01342281879	6.06899824986
2.11409395973	6.06899824986
2.21476510067	6.06899824986
2.31543624161	6.06899824986
2.41610738255	6.06899824986
2.51677852349	6.06899824986
2.61744966443	6.06899824986
2.71812080537	6.06899824986
2.81879194631	6.06899824986
2.91946308725	6.06899824986
3.02013422819	6.06899824986
3.12080536913	6.06899824986
3.22147651007	6.06899824986
3.32214765101	6.06899824986
3.42281879195	6.06899824986
3.52348993289	6.06899824986
3.62416107383	6.06899824986
3.72483221477	6.06899824986
3.8255033557	6.06899824986
3.92617449664	6.06899791234
4.02684563758	6.0689942885
4.12751677852	6.06898219039
4.22818791946	6.06894550553
4.3288590604	6.06884385417
4.42953020134	6.06858502089
4.53020134228	6.06797626671
4.63087248322	6.06664752354
4.73154362416	6.06394403415
4.8322147651	6.05879578984
4.93288590604	6.04958530137
5.03355704698	6.03405010769
5.13422818792	6.009265839
5.23489932886	5.97175312176
